altered_parameter,n_states,a_spawning,b_spawning,a_failure,b_failure
i_subcompartments_count,1,0.0001468021757832256,-0.0003071979449905301,-1.1424706488520464,-0.3583285794634423
i_subcompartments_count,2,1.9560645570838997e-05,-2.5480263623337386e-05,-1.8194122383360958,-0.3368620696073634
i_subcompartments_count,4,6.488777429285401e-06,-6.0438814729373355e-06,-2.5071170548635897,-0.25011766541090985
i_subcompartments_count,6,4.54674841867716e-06,-3.343629696792432e-06,-2.877956292159765,-0.17440345127001322
i_subcompartments_count,10,3.5430326379910437e-06,-2.8788177227237e-06,-3.2516077325671935,-0.0944365797934088
e_subcompartments_count,1,0.00017814490349795793,-0.00010995048497434079,-1.8194968718991607,-0.2970816816714832
e_subcompartments_count,2,3.6460154223030505e-05,-3.415159541546978e-05,-1.7958561755557176,-0.37629231160826304
e_subcompartments_count,4,1.9560645570838997e-05,-2.5480263623337386e-05,-1.8194122383360958,-0.3368620696073634
e_subcompartments_count,6,1.677421427115724e-05,-2.225644911442993e-05,-1.8041384674286853,-0.3723195871548377
e_subcompartments_count,10,1.5619694248405343e-05,-2.254455200398879e-05,-1.813159373950133,-0.3525208659756798
r_subcompartments_count,1,0.0016319154838948626,-0.0010115703545487912,-1.9057023335808925,-0.15947500256762126
r_subcompartments_count,2,0.00027565696514957966,-0.0003382816726998318,-1.8731557010044382,-0.23299497985337858
r_subcompartments_count,4,1.9560645570838997e-05,-2.5480263623337386e-05,-1.8194122383360958,-0.3368620696073634
r_subcompartments_count,6,5.380799745046773e-06,-7.144641614849756e-06,-1.7538377667087235,-0.4876444894812275
r_subcompartments_count,10,1.5160692103276854e-06,-2.099187333877475e-06,-1.7574633091540595,-0.4731319682265971
