channel_width,channel_length,altered_parameter,n_states,optimal_interval,max_value
6,300,e_subcompartments_count,1,129.0,0.0053989147286821705
6,300,e_subcompartments_count,2,133.0,0.0062601503759398495
6,300,e_subcompartments_count,3,130.0,0.006430307692307693
6,300,e_subcompartments_count,4,131.0,0.006539541984732824
6,300,e_subcompartments_count,5,130.0,0.006592769230769231
6,300,e_subcompartments_count,6,129.0,0.00663984496124031
6,300,e_subcompartments_count,7,128.0,0.00668046875
6,300,e_subcompartments_count,8,131.0,0.006664427480916031
6,300,e_subcompartments_count,9,130.0,0.006681692307692308
6,300,e_subcompartments_count,10,129.0,0.006711937984496124
6,300,i_subcompartments_count,1,147.0,0.0036896598639455784
6,300,i_subcompartments_count,2,131.0,0.006539541984732824
6,300,i_subcompartments_count,3,123.0,0.007070243902439024
6,300,i_subcompartments_count,4,122.0,0.007277868852459016
6,300,i_subcompartments_count,5,122.0,0.007396393442622951
6,300,i_subcompartments_count,6,118.0,0.007470508474576271
6,300,i_subcompartments_count,7,118.0,0.007513559322033898
6,300,i_subcompartments_count,8,118.0,0.007547118644067797
6,300,i_subcompartments_count,9,118.0,0.007565254237288136
6,300,i_subcompartments_count,10,118.0,0.0075649152542372885
6,300,r_subcompartments_count,1,151.0,0.0023724503311258276
6,300,r_subcompartments_count,2,151.0,0.0037793377483443706
6,300,r_subcompartments_count,3,143.0,0.005557342657342658
6,300,r_subcompartments_count,4,131.0,0.006539541984732824
6,300,r_subcompartments_count,5,123.0,0.007171219512195122
6,300,r_subcompartments_count,6,115.0,0.007579304347826087
6,300,r_subcompartments_count,7,115.0,0.007935304347826086
6,300,r_subcompartments_count,8,111.0,0.008206846846846846
6,300,r_subcompartments_count,9,107.0,0.008456635514018691
6,300,r_subcompartments_count,10,106.0,0.008644716981132075
