channel_width,channel_length,variance_per_step
1,30,3.9430096981584386
2,30,3.375543650630505
2,300,1.9646374379924074
3,30,2.747657786051377
3,300,2.623796437678048
4,30,2.1903724654830747
4,300,2.14941780296081
5,30,1.8866882732100652
5,300,1.7647871572379918
6,30,1.6199962351563426
6,300,1.4940797613427814
7,30,1.5553752044332205
7,300,1.4422699414691311
8,30,1.3093253306657784
8,300,1.257199686901286
9,30,1.2554835738897103
9,300,1.1334491181951214
10,30,1.190296666349101
10,300,1.0579499281266784
12,30,1.0173009058575104
12,300,0.9872304097637344
14,30,0.8859425364010202
14,300,0.898616429190046
16,30,0.9277329546356716
16,300,0.8397217323746229
18,30,0.8287999769764528
18,300,0.7701765987618517
20,30,0.7350827259880282
20,300,0.7081275320707192
